x,y,TIME(2025/03/18 15:04:22.313),TIMETICK(f=10000000)
931.9492160861753,766.5493997073659,0.00000,0
760.5158859218612,685.4001388243655,0.24480,2448000
692.2267690056055,550.2454144719859,0.45290,4529000
615.2110327497619,423.3941104477288,0.65510,6551000
623.0008479346578,329.95623606373147,0.85650,8565000
513.017942187706,269.5919804484212,1.06130,10613000
461.7088405685853,207.41290820768276,1.26410,12641000
359.4637405128748,174.56273056337673,1.47120,14712000
379.40685198778,138.62026437522633,1.67800,16780000
396.31428004010843,123.05208554675426,1.88430,18843000
423.23075098094705,104.97966790564014,2.09780,20978000
413.91089255317155,118.8165341326883,2.30160,23016000
353.10921399984335,103.11711845838875,2.50740,25074000
358.454592494823,123.46761232103037,2.70820,27082000
481.91044572352916,142.29307430588807,2.90880,29088000
479.8426010072126,165.55189314810622,3.11710,31171000
729.2386079987256,237.71708084660708,3.31700,33170000
849.2842566591465,329.617413994325,3.52240,35224000
1022.891910537893,427.76350545416346,3.72720,37272000
1078.8694008151251,475.02139080812645,3.95150,39515000
1152.6164591492056,556.9480357506081,4.15740,41574000
1167.865313024842,605.2252596516844,4.35970,43597000
1336.619696163042,626.9305525149944,4.57310,45731000
1353.2962647441564,637.1533823987119,4.78310,47831000
1486.438422461662,658.3536475648782,4.98810,49881000
1490.3162065319168,640.4117084505185,5.19630,51963000
1431.6098926128784,681.2743083641262,5.40090,54009000
1502.055640165059,698.6372945612824,5.63550,56355000
1504.593896929407,671.6646899525042,5.83900,58390000
1454.5064884856486,707.4048143683916,6.09400,60940000
1530.8812736558125,681.9200380649933,6.33030,63303000
1543.8615646467938,669.7734718530695,6.54020,65402000
1545.076280000693,667.6452459908031,6.77660,67766000
1428.8534079764968,676.8196127600086,6.98630,69863000
1305.986095612738,690.5633752141639,7.21880,72188000
1123.6411519611515,679.1147196865858,7.42760,74276000
964.1101559622841,681.2234343184107,7.64700,76470000
857.9787096784006,736.2907043051734,7.87580,78758000
786.1955423521512,747.1891086878643,8.09060,80906000
769.5646704938454,734.0913346696541,8.29460,82946000
747.5930458785521,737.2679677748592,8.50310,85031000
734.3837916285004,719.9020415100757,8.71210,87121000
742.1417848866143,812.3641848860441,8.94810,89481000
735.1229029443505,815.4049262051485,9.15850,91585000
646.0469006425006,743.5502183727259,9.37060,93706000
675.9113892693781,729.189228630762,9.60360,96036000
600.5328521826164,698.6971350274455,9.82030,98203000
583.6555482780041,780.6601054174048,10.02390,100239000
645.783996558854,784.678023238005,10.25610,102561000
622.6536566563972,845.2847806193348,10.46920,104692000
589.2688522985263,883.6617040913081,10.69720,106972000
538.0585421437623,829.2214830975028,10.93130,109313000
599.1120286181007,862.7372270030422,11.14110,111411000
615.5370204235442,794.2914138926934,11.35530,113553000
629.7020677502236,867.7480549747476,11.59010,115901000
