x,y,TIME(2025/03/11 18:26:34.710),TIMETICK(f=10000000)
788.4895319348411,379.2250120065865,0.00000,0
775.1727372058568,359.55983323467325,0.22360,2236000
887.0686680130225,316.04024319052303,0.45280,4528000
1126.2593545335246,248.10282047599068,0.67090,6709000
1294.5422595733598,215.82268346261333,0.88680,8868000
1429.9421782785005,191.0155291868309,1.10380,11038000
1124.5350786620631,137.71659014199193,1.34520,13452000
865.5227873356669,111.03867332174062,1.56110,15611000
731.599435342237,126.89670496930987,1.77360,17736000
524.6171982368472,103.5423001311267,1.98740,19874000
440.5243796987444,106.86028487717063,2.19880,21988000
680.3581846895479,153.06188401185636,2.40410,24041000
847.4497147977695,137.16720165243612,2.61560,26156000
933.5663783494293,173.15587395611465,2.82340,28234000
874.5888268576299,180.3724104657691,3.03460,30346000
824.3744926692096,194.8294133121495,3.24670,32467000
841.7858525590073,221.04549571643082,3.46470,34647000
771.3232309791866,209.63204091685236,3.68850,36885000
709.0471753325178,229.15479229857135,3.89920,38992000
701.7755835927487,237.57275750928474,4.11640,41164000
710.992734192686,244.3832440195962,4.32590,43259000
692.9480238819413,294.2701803912514,4.53870,45387000
734.7813877210916,362.4385730050454,4.75240,47524000
740.4501307966094,397.24723682886304,4.96750,49675000
726.4782468833753,418.2000156322119,5.18370,51837000
694.3184658444505,424.00101874807285,5.39960,53996000
668.336180556814,392.09514374200467,5.60730,56073000
684.4432164548374,363.49520055000045,5.82210,58221000
701.541887497097,331.7834600854478,6.04420,60442000
810.6163058359618,324.8157350412766,6.25710,62571000
773.42187039741,363.07842355952914,6.47600,64760000
754.9742420868213,367.1551203583783,6.70070,67007000
839.9489438461236,338.63261547529873,6.91950,69195000
896.2561356758468,351.7749422213399,7.13510,71351000
955.5791409606056,354.054225057759,7.34510,73451000
1037.1738039923193,302.9056995121389,7.55300,75530000
995.4562250855308,303.17289009095805,7.77320,77732000
997.1694292224832,275.5485126001391,7.99400,79940000
1017.7331947863673,253.1589841062454,8.21460,82146000
966.2248404838889,210.99855573570983,8.42820,84282000
972.5280477968678,195.1896292666228,8.64390,86439000
997.2582082128215,166.72067508302956,8.85560,88556000
999.4916952469472,139.79808979876398,9.07480,90748000
971.6021172281677,180.36547875260445,9.29810,92981000
960.1350400708677,149.6955113442947,9.51530,95153000
943.1150973097999,250.87854299814174,9.72940,97294000
960.8986801351388,268.98850924553346,9.94570,99457000
978.2262185778727,266.63082449896,10.15960,101596000
1043.5285114465676,282.23486036142185,10.37700,103770000
973.4698274408145,252.01145794219434,10.60010,106001000
