ID,EPS_Spatial,EPS_Temporal,MIN_SAMPLES
p1,0.05409331715935741,0.7989000000000033,6
p3,0.03805127260367684,0.7326000000000477,6
p4,0.051360291101058206,0.6270000000000664,6
p5,0.04443526381769312,0.751299999999901,6
p6,0.10307885573595527,0.6794999999999618,6
p7,0.03217259131893737,0.7701000000001841,6
p8,0.036223957997015346,0.7326000000000477,6
p9,0.04296104458285116,0.7434999999999263,6
p10,0.06787729774094964,0.7168999999999999,6
p11,0.037048888816486665,0.7525000000000546,6
p12,0.04040367146559993,0.7419000000000153,6
p13,0.037806916507064775,0.743099999999913,6
p14,0.03882822971179404,0.7654999999999745,6
p15,0.032239095940893345,0.7668999999999926,6
p16,0.03586923123256958,0.7370999999999981,6
p17,0.0397530145632194,0.7035999999998239,6
p18,0.03777581734518168,0.7167000000000598,6
p19,0.04247839825604189,0.713100000000054,6
p20,0.05854355912003751,0.7449000000000296,6
p21,0.05356967209534217,0.7511000000000081,6
p22,0.03733364733063076,0.7234000000000833,6
p23,0.04354808330450346,0.7554000000000087,6
p24,0.0380603956395419,0.7511000000000081,6
p25,0.03135866149151226,0.7428999999999633,6
p26,0.04927615449347352,0.7152000000000953,6
p27,0.03481639140685389,0.7334999999999923,6
p28,0.04716769295665103,0.7323999999999842,6
p29,0.05305865000784715,0.7264000000000124,6
p30,0.036367882238112006,0.8214000000000397,6
p31,0.054483138906425185,0.7433000000000902,6
p32,0.05237708022960703,0.7187000000001262,6
p33,0.02693069587346374,0.6740000000000919,6
p34,0.03436560586555454,0.6687999999999974,6
p35,0.03047287439546518,0.7195000000000391,6
p36,0.05445011790514793,0.7187000000000126,6
p37,0.04489168269387261,0.7534999999999172,6
p38,0.0480161732186037,0.7463000000000193,6
