MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/03/03 17:10:20.163),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
,,0,0.0,0,0.48457706638920434,0.5875075971807316,0.0,0.0,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0,0.0,0
,,1,0.2261,2261000,0.4652437089234748,0.5425271654023399,0.0,0.2261,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.04895935001476463,-113.2588587287573,0
,,2,0.4566,4566000,0.46996300741570823,0.5630581611864035,0.0,0.4566,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.021066408477574763,77.0547380137638,0
,,3,0.676,6760000,0.47990407521913353,0.5693319015895043,0.0,0.676,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.011755196626079824,32.25574518369075,0
,,4,0.9014,9014000,0.47548976425905604,0.5453789912056936,0.0,0.9014,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.02435627346510811,-100.44194668401269,0
,,5,1.1308,11308000,0.34038148384436406,0.4326112630367845,0.0,1.1308,1,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.17598524924831627,-140.15003558860906,0
,,6,1.3636,13636000,0.23374576138597594,0.34533233908491245,1.3636,0.0,2,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.13779981085044726,-140.70045160127333,0
,,7,1.5835,15835000,0.19549815121370742,0.2730961103704047,1.3636,0.21989999999999998,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.08173709331010305,-117.90030718052117,0
,,8,1.7993,17993000,0.20790882563039434,0.24290312487547316,1.3636,0.4357,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.032644160466676946,-67.65513409372915,0
,,9,2.0248,20248000,0.2557656612491158,0.307327841819817,1.3636,0.6612,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.08025472490013376,53.39379947150925,0
,,10,2.2416,22416000,0.2891534298084775,0.298195079474458,1.3636,0.8780000000000001,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.03461430972055212,-15.29824765591405,0
,,11,2.473,24730000,0.3070172800564987,0.28785166993116046,1.3636,1.1094,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.020642268932074905,-30.071418413841627,0
,,12,2.7042,27042000,0.31108576792694176,0.269020286118862,1.3636,1.3406000000000002,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.019265866443999857,-77.80872450969582,0
,,13,2.9347,29347000,0.30008781544379853,0.22853591231706955,1.3636,1.5711,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.04195163263741631,-105.19814371189811,0
,,14,3.1611,31611000,0.3153702640493712,0.22346954033708372,1.3636,1.7974999999999999,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.016100352804257274,-18.341170446909782,0
,,15,3.3868,33868000,0.30293859772076753,0.13499947577830249,3.3868,0.0,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.08933923354686146,-97.99873592887454,0
,,16,3.6077,36077000,0.3556106157329886,0.14039310603191016,3.3868,0.22089999999999987,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.05294745252410516,5.846725727180471,0
,,17,3.8263,38263000,0.4076340146160423,0.10922546249083907,3.3868,0.4394999999999998,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.06064532987171054,-30.92616981376893,0
,,18,4.0558,40558000,0.40307720634533634,0.18694938218302784,3.3868,0.6689999999999996,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.0778573836828196,93.35530372859088,0
,,19,4.2781,42781000,0.44149883896058933,0.18336122021927165,3.3868,0.8913000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.0385888165029665,-5.335326870634645,0
,,20,4.5018,45018000,0.4117698717123645,0.1804022669011699,3.3868,1.1150000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.02987585811963783,-174.3160147544623,0
,,21,4.7405,47405000,0.3446089741714893,0.14782825034050456,3.3868,1.3537,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.07464350416071341,-154.12593707177982,0
,,22,4.9735,49735000,0.30334478135939374,0.13942117509878396,3.3868,1.5866999999999996,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.04211190476045638,-168.48429391569434,0
,,23,5.1924,51924000,0.2732211260260999,0.13864945770442683,3.3868,1.8056,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.030133538762910625,-178.53249945938148,0
,,24,5.4107,54107000,0.24542732566794037,0.13728811528648943,3.3868,2.0239000000000003,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.027827119713116254,-177.19588940465627,0
,,25,5.6575,56575000,0.2545839676053976,0.16942168581805067,3.3868,2.2706999999999997,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.03341272881220002,74.09479916265552,0
