MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/03/03 09:10:28.201),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
,,0,0.0,0,0.4395702378132924,0.6034044320008485,0.0,0.0,1,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0,0.0,0
,,1,0.215,2150000,0.4278894067678631,0.5497347814740778,0.0,0.215,1,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05492607032710021,-102.27855077170648,0
,,2,0.4189,4189000,0.30970283195516307,0.5070799232420362,0.0,0.4189,1,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.1256483322481978,-160.15491915061625,0
,,3,0.6243,6243000,0.2502145226841542,0.45456614062974465,0.0,0.6243,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.07935084312201238,-138.56328713182225,0
,,4,0.831,8310000,0.24304159099103828,0.3982883092594496,0.0,0.831,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05673310543957095,-97.26351213540934,0
,,5,1.0389,10389000,0.22488913517813905,0.35386634825134416,0.0,1.0389,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.04798773043023495,-112.22674030675839,0
,,6,1.2474,12474000,0.19957454306241765,0.33691398955287666,0.0,1.2474,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.030466556080838068,-146.19106672709373,0
,,7,1.4523,14523000,0.17452467159109988,0.274577039962807,0.0,1.4523,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.06718177836976648,-111.89254467268675,0
,,8,1.6625,16625000,0.16081700935340462,0.22360338291929432,0.0,1.6625,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05278459734062947,-105.05170253682604,0
,,9,1.874,18740000,0.14972226270496547,0.2281510051603849,0.0,1.874,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.011990590946267551,157.71178190297618,0
,,10,2.0929,20929000,0.15106729645328829,0.23699196993602414,0.0,2.0929,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.008942693886532254,81.34955134593774,0
,,11,2.3008,23008000,0.18395176532362917,0.27778415729063277,0.0,2.3008,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05239647738214766,51.126106443639024,0
,,12,2.5104,25104000,0.19095173861734194,0.28220071629008375,0.0,2.5104,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.008276812158574304,32.24944247654151,0
,,13,2.7131,27131000,0.2063335069193611,0.19509083652705825,0.0,2.7131,1,0,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_Q,0.08845750362985473,-79.98600093541529,0
