x,y,TIME(2025/03/14 11:45:58.061),TIMETICK(f=10000000)
901.1368734688979,520.4581978273377,0.00000,0
884.0434664692881,498.3548844690756,0.21900,2190000
832.6006009358977,469.69070662356916,0.43880,4388000
722.1900892071164,435.99526703737695,0.65460,6546000
663.8029105211559,394.4492461982305,0.87500,8750000
619.6999445949295,349.49274819936403,1.09800,10980000
591.7289887881645,271.9973851973226,1.31350,13135000
537.1600468228721,291.6088444077904,1.53160,15316000
568.0183297347531,228.50187799719677,1.76790,17679000
532.136909164303,159.13200690037297,1.98670,19867000
521.6468613617227,125.15757251010686,2.20840,22084000
482.9443888956862,147.3381961888571,2.43450,24345000
503.74564347058254,140.5456576907278,2.64810,26481000
518.8480743006618,125.68932528744473,2.86450,28645000
561.2898908578238,231.3678923250547,3.07780,30778000
577.1904634388142,306.6683867879648,3.29510,32951000
685.2596793789047,377.7980962698735,3.51160,35116000
761.1329322069902,447.462432240187,3.73420,37342000
829.7574138606712,516.3999530446287,3.94380,39438000
843.0247719113776,549.565998010992,4.15550,41555000
933.8439863882443,562.3307552937431,4.37220,43722000
909.2438054769516,596.7416181210401,4.59830,45983000
1005.5777356590902,631.0469671760866,4.81900,48190000
978.0639074512545,635.0845073999035,5.03910,50391000
931.7942796638056,653.108965363758,5.25760,52576000
893.7295241588222,664.3738900347807,5.47870,54787000
898.9759491753994,659.5743732723256,5.69300,56930000
922.3450772268636,656.8031225405185,5.93000,59300000
901.2442919916591,651.5225432558661,6.15060,61506000
887.8870808415571,651.022941235764,6.36780,63678000
848.1470806564377,624.061018992077,6.60490,66049000
831.0584897176783,613.038524580974,6.82320,68232000
824.5241205319818,610.4442260376762,7.04260,70426000
853.3626422107566,634.1290978809459,7.26480,72648000
898.4142565660895,658.5165070577847,7.48190,74819000
873.6948673143112,664.8089420546725,7.70680,77068000
838.0980611671812,643.6146937407995,7.92500,79250000
753.2134001757237,538.8866078347543,8.14430,81443000
660.3006182112714,450.0084373056014,8.36330,83633000
624.2239255048462,379.83608146773173,8.58070,85807000
588.2937714035197,302.247104551127,8.79720,87972000
568.0694285142025,255.76841275851118,9.00830,90083000
550.8428666966394,201.96945962478773,9.22810,92281000
579.9670441682418,184.48410345532957,9.46580,94658000
566.1175077638098,158.06359525304288,9.68460,96846000
538.6059375671633,144.8362125214308,9.90060,99006000
568.2374187077543,145.24350587765852,10.12080,101208000
586.9365636162471,183.28451382469126,10.33630,103363000
599.9649983218555,198.83848196850096,10.54760,105476000
610.011944488753,231.32743850375843,10.76590,107659000
618.7524693350318,224.77845672851228,10.98490,109849000
630.0683460164602,209.92742542197686,11.20760,112076000
595.4959761076425,242.20711781249054,11.42890,114289000
591.0752339495168,209.48681236917093,11.64200,116420000
592.2182516795951,226.05502710544937,11.86460,118646000
630.027937448822,236.37189931490053,12.07860,120786000
698.1329762185255,298.04728137976736,12.29740,122974000
713.3006872701004,374.894723337036,12.51670,125167000
759.3120146930067,435.0552905713934,12.73300,127330000
776.2780969694559,470.97918911784376,12.94830,129483000
821.9130448099083,508.6362807434546,13.17020,131702000
917.58741198093,566.6925647549463,13.38710,133871000
917.4003124644724,594.7966026636632,13.61060,136106000
894.6764855767045,598.7712259026018,13.82990,138299000
877.9637007894578,606.6575119835304,14.05450,140545000
846.8083594857413,635.6216929668541,14.26580,142658000
844.0499337389971,669.7572842499782,14.47930,144793000
837.6817668854962,651.6877350458317,14.69860,146986000
874.2275454173919,685.4099823279032,14.91980,149198000
854.2927287775062,660.5372881516422,15.13720,151372000
884.9949730768091,709.419780144577,15.35910,153591000
902.4415344451313,712.6548821783273,15.58090,155809000
922.5766359633133,651.1253845760368,15.80090,158009000
921.0326866478597,629.3106797616562,16.02420,160242000
951.1409107295362,637.3609378580014,16.23810,162381000
939.0204563092768,611.3271502437163,16.46090,164609000
952.422846644367,604.3653281120183,16.68080,166808000
942.139560432813,610.9573977008893,16.89790,168979000
965.3002221671503,577.859059551907,17.13780,171378000
1010.4226356372935,597.4962400366617,17.34910,173491000
992.2751527608416,619.0550340596066,17.56590,175659000
962.3955854370774,578.4743893273071,17.78390,177839000
950.0545504456253,545.9130590248035,18.00860,180086000
949.626890576254,518.5242158033517,18.23380,182338000
895.7355850683747,534.9972004568275,18.45320,184532000
919.4356222697497,535.1494060747435,18.67710,186771000
935.6921177355721,543.7178527763234,18.89580,188958000
930.7005918674126,545.6997808899441,19.13570,191357000
976.6843274403847,536.3326859340464,19.35570,193557000
1025.521249078073,512.7649430472254,19.57170,195717000
1028.8847048973337,500.5233298304979,19.79790,197979000
1053.3342550633663,481.4879114535701,20.02210,200221000
1024.9419526408296,426.66590257290477,20.24240,202424000
1003.7555933162583,388.46078940004816,20.45830,204583000
1078.3896354930541,393.1521454384092,20.68090,206809000
1137.8559119435627,420.54415681147185,20.90730,209073000
1297.5869814893344,404.26749773450604,21.12680,211268000
1413.0056836700503,342.5443902371261,21.34230,213423000
1513.7880902802353,339.4047561198133,21.55970,215597000
1572.3521199162892,348.4589142388989,21.77640,217764000
1370.701669621286,314.4925408547231,21.99840,219984000
1050.7352210117688,304.77631544709817,22.21880,222188000
855.2546904197468,249.56496004848017,22.48720,224872000
712.729232603659,198.50531286832535,22.71190,227119000
606.4836481765792,157.6821988577925,22.93800,229380000
522.0722318262958,142.82452567353857,23.15740,231574000
469.93479317509247,133.81270327236854,23.37270,233727000
461.88375133083673,131.90869029510645,23.61450,236145000
490.3772908792832,239.40728916209872,23.83560,238356000
514.0336762555687,283.03273697165463,24.05410,240541000
655.8285880069473,374.89393927261665,24.27090,242709000
676.9691971052525,413.0491173606224,24.48710,244871000
763.9321149916459,462.20062971053534,24.70400,247040000
820.4620141731225,486.87501840386346,24.91800,249180000
827.3021137709974,513.0514073335788,25.12930,251293000
855.7293668277101,515.6638454805234,25.36560,253656000
864.1792833591181,539.5923543908864,25.58990,255899000
893.6174298909193,561.0969991964428,25.80900,258090000
844.4530992991446,545.7051172566305,26.02510,260251000
880.2918407850791,529.589174148805,26.23980,262398000
905.500012704214,542.2880466324908,26.46350,264635000
886.639177113816,542.3486193952033,26.68340,266834000
835.3200497396854,535.5753688254517,26.90380,269038000
833.3832033643895,537.0645370256573,27.12500,271250000
887.003842313047,537.749353846505,27.33740,273374000
911.9778870641128,533.403481323434,27.59250,275925000
911.9438059540348,521.4792490422126,27.80180,278018000
938.7762382572419,500.40435500282666,28.02230,280223000
925.8064589952409,502.7074276334249,28.25320,282532000
912.1955579800525,473.4481120151993,28.47530,284753000
935.3560419078168,447.1275874614427,28.70370,287037000
939.3611314258578,470.36937208838094,28.92390,289239000
955.0332937167722,476.4238387298701,29.14830,291483000
929.9045388115389,456.07570522679373,29.37570,293757000
978.2970443024952,460.7522159640808,29.59660,295966000
987.4163334389648,481.511718662277,29.81410,298141000
957.1496660520266,479.92283960042755,30.02700,300270000
899.4363751487747,484.5744125376209,30.24480,302448000
855.1888605689169,507.90840315772,30.45950,304595000
881.0089305316774,504.643501595229,30.69910,306991000
856.5981279751543,495.1335070950914,30.94430,309443000
906.8960596853456,486.7200745519934,31.16860,311686000
822.8904215734667,442.54622624601586,31.38570,313857000
837.0274607316655,411.0570122297502,31.60850,316085000
867.7098144234618,445.26948914396274,31.83330,318333000
927.9722031089922,482.8787389516754,32.05950,320595000
932.3677560785161,472.886864048583,32.27460,322746000
942.3874826920211,529.0356080503282,32.51370,325137000
925.301743891829,514.4188535755438,32.74800,327480000
954.7359984129816,536.8518195074312,32.97630,329763000
962.6197274672891,553.4896686459783,33.21380,332138000
959.8578077414538,535.0754756341588,33.43540,334354000
939.4010806391677,525.9764461627428,33.65620,336562000
934.6977125212115,542.2767635638272,33.88680,338868000
931.2694684533445,581.9785967629026,34.13520,341352000
913.072073211487,577.2239810479485,34.35650,343565000
909.3513225157341,584.8648966009089,34.58920,345892000
904.9012081650355,542.8374889433061,34.84830,348483000
884.6710625243776,549.9362357925493,35.12470,351247000
843.2044018635512,542.5845625888832,35.36080,353608000
832.658437447491,544.0344442005946,35.59770,355977000
804.7728643684094,515.9486583595819,35.85210,358521000
805.8476703829647,512.7214301867406,36.07120,360712000
849.6249518229008,544.4535992835182,36.29280,362928000
831.569664970135,525.540018705077,36.51510,365151000
849.2685568898772,502.2295100949155,36.73810,367381000
850.244016781495,516.3559662671486,36.99190,369919000
873.5183165343445,567.9084845176899,37.25430,372543000
882.724116836239,600.4406292260797,37.46790,374679000
897.0893694514551,612.2331470761012,37.70150,377015000
937.1864014153404,618.7726388293452,37.93970,379397000
903.9650377260591,617.4156358547219,38.16840,381684000
941.0435988439829,695.2569878207828,38.40310,384031000
959.8403740792369,669.4419580186993,38.67690,386769000
919.6093115596238,615.0514627637243,38.91250,389125000
916.7097918436386,602.8160124099787,39.13550,391355000
919.7045049919857,593.2517708120893,39.35890,393589000
875.720451143988,579.6540456224317,39.58240,395824000
889.1436029893347,580.5825289069684,39.80720,398072000
947.6961075960418,580.1897896018118,40.02170,400217000
966.3060287260373,601.6313206645805,40.23840,402384000
1001.7556731077093,621.1779815737732,40.45290,404529000
1022.5341386527233,610.4430880892071,40.67090,406709000
1014.6858913900869,623.6454773901934,40.89550,408955000
1037.330647181416,640.6944756004629,41.11600,411160000
1017.4327613384017,632.2909973771631,41.33830,413383000
1042.0420394320006,644.4209122399633,41.56050,415605000
1061.5876955056324,678.6908170126424,41.77970,417797000
1085.439788421489,734.774472830219,41.99910,419991000
1079.293151561833,681.1788478035869,42.22190,422219000
1082.2476835229597,673.0547447178998,42.44210,424421000
1050.8710146112662,616.3044942041331,42.66630,426663000
994.1021014884383,652.1952093528312,42.88630,428863000
907.5387123371804,608.4679626072332,43.10640,431064000
848.2229283677584,565.1928811154673,43.32500,433250000
804.0129847664922,586.9164437234457,43.55010,435501000
772.5564200727855,546.7478545418863,43.77410,437741000
750.9686636561695,518.571811177116,43.99930,439993000
723.9679442464665,505.8699966513402,44.22210,442221000
663.2059709083584,486.4489367386711,44.44610,444461000
629.2303725548775,471.4985903638135,44.66730,446673000
648.4332877773029,457.5623933832978,44.89410,448941000
614.2021982903929,491.3403225494721,45.11520,451152000
594.3953402603042,498.9237401054251,45.34680,453468000
631.768576080864,509.5924396538694,45.57200,455720000
620.019289535057,503.52528708533094,45.80200,458020000
585.3459314341875,496.313012638644,46.02310,460231000
571.1637447628497,493.4190007229241,46.24650,462465000
638.8556447078598,490.8612687750296,46.46400,464640000
626.3737106250239,489.88254043757206,46.67990,466799000
653.1753161080367,525.5603100622623,46.90270,469027000
688.9026867509231,514.3614816927326,47.12790,471279000
743.9676280399973,518.6668879614496,47.34910,473491000
699.1690161157037,525.133981362943,47.56810,475681000
661.5398188033839,552.4826762357523,47.78480,477848000
678.0831728135566,557.972285885405,48.01140,480114000
675.9448260379422,549.1619883160184,48.24040,482404000
632.7381152482727,525.8460607943734,48.45780,484578000
634.2269285570483,485.2118386914197,48.67320,486732000
657.9519467103355,397.5952436384739,48.89310,488931000
660.3984794092921,416.5014212416256,49.11310,491131000
706.2935472562905,420.5470085963168,49.34240,493424000
777.0258847114808,435.66144014538924,49.57790,495779000
828.3047711027214,417.4946836200891,49.80390,498039000
855.4175478842067,432.3698672589698,50.02310,500231000
880.2394002674453,488.3526432046593,50.24870,502487000
882.8673480301791,508.74318462711705,50.48330,504833000
879.6746633206835,537.1066207794306,50.71100,507110000
888.6258234540385,543.1860520393401,50.93160,509316000
882.9007956713406,563.9814887900272,51.15710,511571000
901.2037421751832,562.2823555216856,51.37820,513782000
874.5923199965512,623.7129240560595,51.59650,515965000
934.798962807616,632.5032679630403,51.82280,518228000
857.4783801773247,604.5604491101318,52.04060,520406000
801.0635449914342,583.7449787745028,52.31290,523129000
764.7685495510094,563.4483897486338,52.54660,525466000
753.6160989651555,525.5189191000122,52.76760,527676000
763.2744204269405,512.8054873905774,52.99710,529971000
799.246027887584,485.5430551123556,53.22530,532253000
798.8563255874161,463.5794905053507,53.45040,534504000
796.1155814371768,479.71695352838,53.67390,536739000
802.8673813775832,482.65437719963154,53.89820,538982000
817.183757403442,433.3394111900759,54.12510,541251000
858.9855622352696,463.4944564766638,54.34460,543446000
909.2442666624268,502.53293908108066,54.56820,545682000
968.8926468142718,509.40849423923413,54.79520,547952000
926.1407933847748,534.509867739919,55.01750,550175000
900.5249880294856,475.5488395279051,55.23450,552345000
922.2260750610327,398.91318200414946,55.45440,554544000
959.127981041201,391.8331807228505,55.67920,556792000
953.1969259692117,418.669827638507,55.90140,559014000
866.39942924583,411.9080759008283,56.12060,561206000
779.4836411005883,338.98971819474485,56.35000,563500000
706.4032907118838,254.57025813311122,56.60730,566073000
702.4827846661537,205.9717941078932,56.82940,568294000
724.2732548266839,180.84191247668053,57.04640,570464000
741.1162859002818,146.7025430481834,57.26490,572649000
746.9853689424663,145.8985531226084,57.47930,574793000
720.7276200573461,90.01147667453932,57.69470,576947000
755.3411794451773,67.9303536056305,57.93710,579371000
743.3332101207819,55.199667544192764,58.15440,581544000
691.4449470129044,64.92973427911326,58.37780,583778000
725.136928382196,90.3314236705323,58.62870,586287000
692.6051001970878,75.82948412032708,58.85300,588530000
655.3442709833627,43.89036779205831,59.07720,590772000
665.0364222279189,24.614680484454123,59.30060,593006000
710.9244830660366,53.30665424456666,59.51790,595179000
660.2483915642488,46.91354179477592,59.73930,597393000
602.9613852818278,47.34414459966297,59.96220,599622000
546.3806125622731,89.62709901285282,60.21090,602109000
632.2867421136962,104.76289116465534,60.42650,604265000
567.01654316907,92.04131405171454,60.65250,606525000
681.0234364822413,133.89145332098724,60.87390,608739000
671.7859857011775,128.67963623959534,61.10590,611059000
674.4215164741494,126.97876643008394,61.33060,613306000
676.9136392150682,98.87748999677866,61.55710,615571000
670.9051366155243,144.48952041624813,61.78390,617839000
622.5986411488842,121.64805385610276,62.00830,620083000
594.4888079192079,129.33146283518946,62.22610,622261000
616.0542839830663,107.96117780461776,62.44320,624432000
544.3802729686072,131.14467872726618,62.66960,626696000
618.264795070453,128.48092940985757,62.88230,628823000
739.5438757718348,129.86632423766218,63.10330,631033000
854.5898864635896,91.59582109533108,63.32440,633244000
848.4070272593812,180.05853100851044,63.54570,635457000
928.572490634599,226.17471266982787,63.80900,638090000
1040.646765015821,273.71852263788145,64.03330,640333000
994.41380390818,243.602584035869,64.25490,642549000
942.3701183354304,246.1168809603145,64.47830,644783000
820.4713052810046,245.81185057563735,64.71490,647149000
663.6472634905649,219.98528726462789,64.93970,649397000
584.4781202856466,255.8835622055719,65.16590,651659000
479.1967385707758,273.6567731397598,65.38350,653835000
461.76716983209684,307.4121832379306,65.60990,656099000
456.89353805235334,340.991709795815,65.82950,658295000
466.1617088853851,328.4816819674849,66.05270,660527000
478.73708121544286,332.2038821782284,66.27250,662725000
480.8116999222764,333.2074261621136,66.49400,664940000
508.0777882439387,345.6549603606691,66.71030,667103000
583.0452530621202,420.08354746302933,66.92910,669291000
546.7723313117243,400.0600383198902,67.15060,671506000
574.1262573748918,411.4579025749372,67.37270,673727000
655.6848394517069,425.11295208930875,67.59550,675955000
780.9557169500495,425.0219387528054,67.81610,678161000
858.5241104141087,400.93933775293146,68.03950,680395000
887.6195340143893,398.5666271069062,68.26350,682635000
897.4726451625112,393.5253574078376,68.48670,684867000
900.0028913094937,369.86829713238114,68.70440,687044000
882.8776431783305,363.00578358925156,68.91960,689196000
875.9763696526035,362.23817950170366,69.13720,691372000
866.482252487463,361.78093764251787,69.35630,693563000
858.9161943109826,368.3758378175341,69.58730,695873000
861.0202050550208,366.55128010803065,69.81320,698132000
844.2047689291225,358.4807140076326,70.04530,700453000
778.9785477387691,347.4834547008854,70.26600,702660000
730.3451942296848,335.4358526106077,70.49320,704932000
670.0413202243597,338.61964386215567,70.71400,707140000
614.4104565073125,338.6768083294993,70.93880,709388000
546.0267807234057,334.90089648214246,71.16170,711617000
553.2572263927307,363.667169742463,71.38590,713859000
575.5076061450198,348.66267782507657,71.61380,716138000
614.8401497480246,370.2441234525475,71.85620,718562000
611.3476400519025,366.6793311644445,72.08670,720867000
741.3789662962045,415.1686879957532,72.32670,723267000
843.7384442375044,396.78009587980404,72.54710,725471000
882.7976425753291,353.7268678408912,72.81500,728150000
958.3871425672892,340.68097831282944,73.03800,730380000
1079.2016479183621,312.86096989474635,73.27110,732711000
1108.621545873628,337.3064906973459,73.48980,734898000
1179.2925738871882,332.77580534149763,73.70330,737033000
1348.4218572267803,296.52583262813107,73.92560,739256000
1424.9370427695817,280.4516587630001,74.14310,741431000
1477.7480636484968,293.86733465537134,74.36550,743655000
1324.1649462318996,287.9927075858585,74.64450,746445000
1166.0465021707785,236.02170005158345,74.89130,748913000
946.5507438181369,229.66485369739354,75.11560,751156000
751.6602611064327,240.3551251823224,75.34110,753411000
684.852298468574,235.58978887331378,75.56170,755617000
555.9318602962674,232.2225312239622,75.78350,757835000
527.262867945675,222.91464590112548,76.02630,760263000
519.8687012736088,193.82344152994682,76.29770,762977000
460.28179055859846,201.8661715835088,76.52240,765224000
429.2151928209984,220.11710464242586,76.75930,767593000
448.1457797563406,265.5711417084625,76.98580,769858000
563.098322448689,328.47178146602005,77.23400,772340000
674.7423641910274,353.80634387833516,77.46240,774624000
936.6730484376003,381.53472062164997,77.72280,777228000
1182.3280641455349,386.4784989571394,77.95630,779563000
1236.7572496733067,359.5277681785451,78.20400,782040000
1255.521811565947,324.5036906065959,78.42600,784260000
1284.3237115552865,327.0303806621575,78.64900,786490000
1172.8178945017041,380.2722166825914,78.86690,788669000
1073.4699736439115,354.6491457774863,79.09750,790975000
1005.1102189465541,358.7407153996596,79.34200,793420000
1045.3983162426407,293.4214513018028,79.58310,795831000
972.1144172392928,315.14590260597936,79.81840,798184000
926.1803226609902,343.73188708825865,80.05810,800581000
853.0127061513864,348.1023121388857,80.31920,803192000
684.3462679083951,332.1552349709174,80.58340,805834000
522.9481112381119,333.1936228121251,80.81930,808193000
456.3292785330809,297.168032792687,81.07900,810790000
375.171266222501,274.37383485103885,81.31090,813109000
381.19598078873474,296.9414157063079,81.52790,815279000
431.8144471757445,276.9690976974637,81.75270,817527000
406.59320566321514,263.5032429861967,81.97390,819739000
401.23327371473584,229.93931363084488,82.19450,821945000
520.6253750336627,241.44883195724253,82.41300,824130000
507.36766084137986,271.8325020694455,82.64140,826414000
479.292271611505,267.1041839221203,82.86890,828689000
541.8152659431776,238.42818332442508,83.09880,830988000
678.0029306475765,283.926856675758,83.31920,833192000
769.2823468142302,243.21838223244507,83.56190,835619000
750.9681809659135,208.17765368197468,83.77650,837765000
730.9322831207492,129.72756972655282,83.99610,839961000
714.1867277182998,61.21327001315671,84.26460,842646000
744.6783097034644,43.66655565543244,84.49430,844943000
778.7249024724421,26.56106487008735,84.71990,847199000
882.4754580108205,39.241688369728905,84.94200,849420000
952.4963781259895,40.97767947322498,85.16310,851631000
947.3662318865677,48.74655239228535,85.38110,853811000
990.487286653049,109.45323641557077,85.60290,856029000
1017.2263768680143,155.35124792335253,85.81940,858194000
998.9367858785904,218.83439750802523,86.03830,860383000
1007.3691923756485,242.81611486503058,86.28210,862821000
952.2021210888331,278.3094280271378,86.50690,865069000
918.6085256437754,288.09818915631575,86.72900,867290000
930.0389415056812,240.11324021379897,86.94820,869482000
849.8772889965925,226.66394484528598,87.17200,871720000
856.6057965224277,210.9675657147081,87.40000,874000000
845.9795498084478,231.66942633675743,87.62830,876283000
836.3114189148507,200.16351268257839,87.86380,878638000
838.0047109979091,200.8988216660699,88.09000,880900000
819.3073519728042,164.4787005243244,88.31700,883170000
823.4323656284025,170.5118209276388,88.54050,885405000
830.4254131926658,201.45853253342258,88.76690,887669000
750.1445820271034,239.24333433227017,88.98970,889897000
796.1994963735673,229.11310887940076,89.22250,892225000
810.6545287074122,229.45086447248408,89.44440,894444000
730.2023730984766,247.86859703411295,89.65930,896593000
745.387617701189,245.6000538317498,89.87110,898711000
707.083202152996,233.08392945010726,90.08700,900870000
654.4698980512753,207.28120189330784,90.30950,903095000
693.5496126713803,192.45753277484056,90.53490,905349000
630.1051357815605,193.45636184556054,90.76370,907637000
663.0200525637725,171.99998103896849,90.98080,909808000
626.9287652587745,181.3575588609517,91.21050,912105000
605.1020853545015,185.808079662572,91.46740,914674000
667.5340630706079,218.01768336954268,91.70090,917009000
628.4435588515448,224.48069681576254,91.91780,919178000
577.6233098163383,246.41957599109887,92.14290,921429000
564.533539710367,303.6976451537081,92.37270,923727000
553.856996568541,355.62959695027973,92.59840,925984000
553.5623014843422,452.4023976756996,92.82140,928214000
536.8882880600938,529.5923062419121,93.05670,930567000
546.877335108171,544.859386161968,93.28490,932849000
647.6520872385021,516.9183751930174,93.50930,935093000
680.4755017486525,495.2981236387061,93.73410,937341000
745.7946045827102,475.92514400278924,93.95850,939585000
832.5440788682081,444.33810482494664,94.19770,941977000
901.5200440166133,429.9618079289784,94.42610,944261000
954.5059495808424,405.5746224676741,94.65840,946584000
983.546235233087,375.3748812621199,94.89190,948919000
995.0747299865308,359.53793880590786,95.14870,951487000
1081.9041909315338,356.39877062927917,95.37330,953733000
1146.0164281574034,349.3064711753576,95.59780,955978000
1191.9984103606116,344.28036086686427,95.83020,958302000
1217.4673143717587,279.2510543282266,96.05890,960589000
1215.2673107929259,293.2645319461678,96.27730,962773000
1131.5086843158967,433.5649917217065,96.51180,965118000
1038.0537536617649,467.6763861410992,96.80080,968008000
1049.080183810749,504.4904397310976,97.03140,970314000
1059.1917045081113,535.1143781383635,97.25490,972549000
1022.8055158949586,559.5896720576397,97.47350,974735000
981.8274602582727,566.333672010571,97.69830,976983000
930.8121261338262,564.7412314749877,97.92270,979227000
908.814973688302,600.274343685791,98.14310,981431000
