x,y,TIME(2025/04/15 13:45:34.225),TIMETICK(f=10000000)
1000.772930080722,716.4649797230934,0.00000,0
916.5203519805079,622.687454972881,0.23030,2303000
853.8435308881204,576.7741309107117,0.44420,4442000
819.82583682776,559.3378284633678,0.66440,6644000
797.1382090876572,552.3128538527641,0.87520,8752000
700.556487286815,474.8611587253255,1.08480,10848000
622.5573437642772,415.3821142602527,1.29590,12959000
604.7912505949945,385.5905981206808,1.51030,15103000
629.0294341571114,368.02225229786984,1.72030,17203000
661.8927502349314,321.58903752159597,1.93190,19319000
672.2600141467998,337.30791332868716,2.14900,21490000
721.6273012813534,318.4976982102424,2.39900,23990000
774.0816864566904,304.36057479560463,2.60780,26078000
726.7956490498144,315.5764411013686,2.82410,28241000
684.8382636551214,256.59199551526916,3.03970,30397000
610.3292865225694,257.2483669841963,3.25090,32509000
619.2449395171222,219.02575317813728,3.46640,34664000
605.6944282912764,205.71764504247577,3.67990,36799000
533.8319183190043,218.0944857049073,3.89240,38924000
525.7018213235866,236.45001633698405,4.11860,41186000
600.9804757914388,239.95650686465646,4.33750,43375000
625.199774379203,266.11733218564524,4.54990,45499000
725.300080089862,270.2045548026834,4.75950,47595000
734.1798466300976,270.38206391345295,4.97500,49750000
892.5379799421613,362.6413902254351,5.18290,51829000
919.9800578608247,379.76531823526483,5.40200,54020000
961.6550587311432,433.2378688332241,5.61820,56182000
963.7331226716025,479.57953979398224,5.83230,58323000
908.7232430490851,603.7143440118442,6.05170,60517000
907.5527392447266,627.5855620311453,6.26870,62687000
842.3544881904427,627.0721130009784,6.49000,64900000
798.9382216265445,715.2194957951091,6.70690,67069000
835.0583067758514,727.819811929889,6.91780,69178000
826.2361757320423,740.1370146350067,7.13700,71370000
763.3400230116965,672.3185745222767,7.35730,73573000
713.5410656699004,612.6708026956186,7.57770,75777000
669.3968200603045,570.0323004460286,7.78990,77899000
740.6660238992381,537.3892761313227,8.00980,80098000
834.626622498582,500.182027942431,8.23100,82310000
986.1144916456391,432.3937966170302,8.44920,84492000
979.6163366306689,397.75353979226765,8.66610,86661000
898.4361333390954,366.0753762271847,8.87330,88733000
786.0677081928535,369.88159800085185,9.09150,90915000
675.9420407864294,409.24907024846,9.30560,93056000
593.5929587957733,433.62804458356624,9.51880,95188000
575.2955692428975,442.4388742803091,9.73750,97375000
529.193440518514,413.08472981613977,9.96010,99601000
604.9806650068604,474.06167342405536,10.17100,101710000
668.4291000707541,520.6667696207203,10.39040,103904000
734.981927700342,546.5744939244338,10.60930,106093000
762.769756931563,611.4718864183798,10.82850,108285000
653.0162171990389,576.8070250249822,11.04780,110478000
600.8086257009809,567.0643910792099,11.26720,112672000
554.5188456588562,526.0443070954622,11.47710,114771000
588.5887177203219,453.04469615673884,11.70300,117030000
670.0336372743255,406.30775402712993,11.92450,119245000
740.0610263433239,411.94045457092864,12.14550,121455000
829.16474371766,410.36576344981574,12.36580,123658000
871.047834012535,402.30382501004516,12.58450,125845000
811.8210662665011,382.5237050237967,12.79520,127952000
780.4567438439462,351.1657576994964,13.01100,130110000
646.7740075608658,360.8999612740078,13.22750,132275000
619.5090446473279,358.7857086727154,13.44740,134474000
555.7951123536177,366.8611093215632,13.67240,136724000
538.5254110624631,370.09905515720413,13.88920,138892000
507.3621910677576,423.624736277665,14.10230,141023000
451.4590297691788,423.9331939994704,14.32940,143294000
335.93587620662527,445.5301643958798,14.54880,145488000
267.1132279359518,481.61331197655045,14.76520,147652000
227.6816275903923,483.8936932755013,14.98900,149890000
175.47922951090263,435.46531337997305,15.20740,152074000
133.7723834337815,413.4258297695995,15.42900,154290000
105.55975419411536,429.45050859986156,15.65150,156515000
89.26822547807919,409.3790064653473,15.87760,158776000
126.00461379629857,402.0101428133311,16.10370,161037000
265.9966730823126,516.7498004282068,16.33670,163367000
